9 Nov,Sektzia Nes,Hapoel Rishon,0.257,0.358,0.385,0,0,0.215,0.201,0.799,0.414,0.518
9 Nov,Maccabi Ahi N.,Hapoel Akko,0.141,0.269,0.590,0,1,0.197,0.320,0.680,0.237,0.578
9 Nov,Pogon Szczecin,Legia Warsaw,0.194,0.251,0.556,0,1,0.142,0.434,0.566,0.204,0.439
9 Nov,Gornik Zabrze,Slask Wroclaw,0.174,0.177,0.648,1,2,0.091,0.731,0.269,0.079,0.282
9 Nov,Atalanta-U19,Milan-U19,0.652,0.188,0.159,2,1,0.098,0.644,0.356,0.354,0.102
9 Nov,Torino-U19,Sampdoria-U19,0.591,0.321,0.088,1,0,0.276,0.175,0.825,0.758,0.314
9 Nov,Karabakh Wien,Neusiedl,0.837,0.119,0.044,2,0,0.157,0.600,0.400,0.630,0.071
9 Nov,Mattersburg B,FCM Arkadia,0.529,0.189,0.282,2,1,0.075,0.810,0.190,0.159,0.081
9 Nov,Wiener SK,Team Wiener L.,0.454,0.296,0.250,1,0,0.158,0.337,0.663,0.438,0.294
9 Nov,St. Poelten B,Mannsdorf,0.211,0.190,0.599,1,2,0.091,0.725,0.275,0.092,0.253
9 Nov,Parndorf,Schwechat,0.745,0.188,0.067,1,0,0.189,0.410,0.590,0.673,0.146
9 Nov,Jihlava,Usti nad Labem,0.692,0.220,0.088,1,0,0.199,0.366,0.634,0.646,0.179
9 Nov,Vitkovice,Znojmo,0.808,0.142,0.050,2,0,0.174,0.521,0.479,0.659,0.096
9 Nov,OFK Becej 1918,Bud. Dovanovci,0.410,0.262,0.328,1,1,0.125,0.483,0.517,0.297,0.249
9 Nov,Ried SV,BW Linz,0.554,0.243,0.203,1,0,0.128,0.474,0.526,0.405,0.189
9 Nov,Lafnitz,Wiener Neustadt,0.331,0.333,0.336,0,0,0.172,0.259,0.741,0.413,0.416
9 Nov,SV Horn,Kapfenberger,0.356,0.252,0.392,1,1,0.119,0.533,0.467,0.236,0.256
9 Nov,Floridsdorfer,Austria Wien B,0.297,0.364,0.339,0,0,0.219,0.196,0.804,0.451,0.485
9 Nov,FC Liefering,W. Innsbruck B,0.276,0.426,0.298,0,0,0.310,0.114,0.886,0.548,0.566
9 Nov,Amstetten,FC Juniors,0.440,0.225,0.335,1,1,0.097,0.657,0.343,0.209,0.162
9 Nov,Mlada Boleslav,Dukla Prague,0.887,0.073,0.038,3,0,0.091,0.840,0.160,0.446,0.022
9 Nov,Bischofshofen,FC Kitzbuehel,0.079,0.178,0.744,0,2,0.162,0.481,0.519,0.124,0.599
9 Nov,Kufstein,Seekirchen,0.532,0.247,0.221,1,0,0.123,0.479,0.521,0.384,0.196
9 Nov,Proleter,Radnicki Nis,0.152,0.258,0.590,0,1,0.178,0.361,0.639,0.219,0.536
9 Nov,Antwerp,Oostende,0.657,0.195,0.148,2,0,0.109,0.589,0.411,0.403,0.117
9 Nov,Arsenal Tula,Anzhi,0.654,0.253,0.093,1,0,0.227,0.294,0.706,0.678,0.223
9 Nov,Ludogorets,Beroe,0.425,0.341,0.234,0,0,0.195,0.225,0.775,0.523,0.373
9 Nov,Cherno more,Levski Sofia,0.150,0.207,0.643,0,1,0.116,0.541,0.459,0.135,0.430
9 Nov,CSKA Sofia,V. Bistritsa,0.874,0.102,0.024,2,0,0.189,0.557,0.443,0.757,0.072
9 Nov,Botev Plovdiv,Septemvri Sofia,0.523,0.256,0.221,1,0,0.133,0.445,0.555,0.404,0.212
9 Nov,Slavia Sofia,Lok. Plovdiv,0.237,0.497,0.266,0,0,0.413,0.060,0.940,0.629,0.655
9 Nov,Vereya,OFK Etar,0.221,0.367,0.413,0,0,0.234,0.179,0.821,0.411,0.569
9 Nov,Botev Vratsa,Dunav Ruse,0.400,0.277,0.323,1,1,0.131,0.425,0.575,0.329,0.282
9 Nov,Brondby IF,AGF Aarhus,0.250,0.274,0.476,0,1,0.138,0.405,0.595,0.251,0.398
9 Nov,Gzira United,Valletta,0.405,0.283,0.312,1,1,0.132,0.402,0.598,0.349,0.289
9 Nov,Dragovoljac,Dinamo Zagreb B,0.174,0.202,0.624,1,2,0.099,0.606,0.394,0.121,0.360
9 Nov,Radnik Sesvete,Kustosija,0.470,0.283,0.247,1,0,0.148,0.372,0.628,0.420,0.269
9 Nov,Waterhouse,Portmore Utd,0.214,0.245,0.542,0,1,0.124,0.480,0.520,0.191,0.391
8 Nov,Montego Bay,UWI Pelicans,0.154,0.462,0.384,0,0,0.381,0.074,0.926,0.520,0.731
8 Nov,Dunbeholden,Arnett Gardens,0.289,0.404,0.306,0,0,0.278,0.138,0.862,0.520,0.535
9 Nov,Coban Imperial,Deportivo Chian,0.652,0.216,0.132,1,0,0.146,0.466,0.534,0.503,0.157
9 Nov,Zrinjski Mostar,FK Sarajevo,0.341,0.282,0.378,1,1,0.132,0.411,0.589,0.301,0.325
9 Nov,Mladost Kakanj,Rad. Bijeljina,0.309,0.570,0.121,0,0,0.522,0.028,0.972,0.819,0.638
9 Nov,FK Zvijezda,Celik Zenica,0.372,0.363,0.265,0,0,0.219,0.195,0.805,0.513,0.427
8 Nov,Al-Duhail SC,Al-Shahaniya,0.866,0.109,0.025,2,0,0.196,0.529,0.471,0.768,0.080
9 Nov,Al Ahli SC,Al Rayyan,0.465,0.269,0.265,1,0,0.128,0.429,0.571,0.371,0.245
8 Nov,Al Sadd,Al Kharitiyath,0.962,0.018,0.005,5,0,0.118,0.909,0.091,0.663,0.006
9 Nov,Umm Salal,Al Sailiya,0.071,0.141,0.787,0,2,0.135,0.615,0.385,0.079,0.531
8 Nov,Qatar SC,Al Gharafa,0.082,0.142,0.776,0,2,0.117,0.659,0.341,0.071,0.471
9 Nov,Al Khor,Al Arabi Doha,0.492,0.305,0.203,1,0,0.187,0.287,0.713,0.517,0.300
9 Nov,Aberdeen,Hibernian,0.475,0.271,0.254,1,0,0.134,0.416,0.584,0.389,0.247
9 Nov,NorthEast Utd,Mumbai City,0.662,0.213,0.125,1,0,0.148,0.465,0.535,0.515,0.154
8 Nov,FC Goa,Delhi Dynamos,0.956,0.032,0.008,4,0,0.139,0.831,0.169,0.715,0.015
9 Nov,FC Rustavi,Sioni Bolnisi,0.326,0.302,0.372,0,1,0.136,0.342,0.658,0.340,0.371
