"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Sat 17 Nov","Sunderland","Wycombe",0.663725316195248,0.189992546468441,0.146261536254748,2,0,0.1054020977249,0.607990392797598,0.392009607202402,0.393429965493297,0.109724926855513
"Sat 17 Nov","Peterborough","Bradford",0.84356384468012,0.100546172141392,0.0553162068668989,3,0,0.101454679019356,0.767528512196822,0.232471487803178,0.457317922607812,0.0385034017019409
"Sat 24 Nov","Scunthorpe","Portsmouth",0.0834591733730563,0.133702353616879,0.782664763834164,0,2,0.102581547391104,0.707241745073832,0.292758254926168,0.0596299328805329,0.432698320161173
"Sat 24 Nov","Walsall","Sunderland",0.245984622852388,0.250181234541416,0.503833133792546,1,1,0.118991020779643,0.488970372982324,0.511029627017676,0.202910572236785,0.35537216636787
"Sat 24 Nov","Wimbledon","Southend Utd",0.24603348274781,0.258642910370234,0.495322992554049,0,1,0.124354120992146,0.456127523377484,0.543872476622516,0.219897706869066,0.373373358681693
"Sat 24 Nov","Rochdale","Accrington",0.317802712198965,0.222186369806078,0.460005379036272,1,1,0.0944208601653282,0.665390407117534,0.334609592882466,0.151711527763316,0.214172320378038
"Sat 24 Nov","Gillingham","Luton Town",0.195328920083712,0.207820356170993,0.596839152006141,1,2,0.0989514443030657,0.615095987097112,0.384904012902888,0.12579144065884,0.331864246009833
"Sat 24 Nov","Wycombe","Shrewsbury",0.295938737964235,0.297554911162684,0.406506302635178,0,1,0.142123211090904,0.349239993124227,0.650760006875773,0.314817669083392,0.390604838525415
"Sat 24 Nov","Barnsley","Doncaster",0.373941197489512,0.294641154550028,0.331417602605866,1,1,0.134365758940847,0.365062441070945,0.634937558929055,0.355095009720099,0.32656345057059
"Sat 24 Nov","Coventry City","Peterborough",0.09019712382075,0.164098814797145,0.745671366164126,0,2,0.134937893889294,0.576535721335717,0.423464278664283,0.0976081548725233,0.510678603561741
